date,id1,id2,k1,k2
2/2/2020,A3,C0,3,1
2/3/2020,A1,A2,2,3
2/4/2020,B1,B2,1,3
2/5/2020,C1,C2,0,3
2/6/2020,A0,B0,2,3
2/9/2020,A3,B0,0,3
2/10/2020,B2,C0,0,3
2/11/2020,A0,A1,3,1
2/12/2020,A2,C1,2,3
2/13/2020,B1,C2,1,3
2/18/2020,A2,A3,2,3
2/20/2020,B0,B1,3,2
2/22/2020,C0,C1,3,2
2/25/2020,A0,B2,2,3
2/28/2020,A1,C2,0,3
2/29/2020,A0,A2,3,2
3/1/2020,A1,A3,3,2
3/8/2020,B2,C1,3,2
3/11/2020,B3,B4,2,3
3/12/2020,B1,B3,2,3
3/13/2020,B4,C0,2,3
3/13/2020,B0,B3,3,1
3/14/2020,B4,C2,2,3
3/14/2020,A0,B3,2,3
3/15/2020,A2,B4,3,1
3/16/2020,A1,C1,3,1
3/16/2020,A3,B1,2,3
3/17/2020,C0,C2,3,2
3/17/2020,B2,B3,3,2
3/18/2020,B0,B4,3,1
3/19/2020,A0,A3,2,3
3/21/2020,A1,B0,3,2
3/21/2020,A2,B1,3,0
3/21/2020,B2,C2,1,3
3/22/2020,B3,C0,2,3
3/22/2020,B4,C1,3,2
3/23/2020,A0,C2,2,3
3/24/2020,A1,C0,3,1
3/25/2020,A2,B3,3,2
3/27/2020,A3,C1,3,0
3/27/2020,B0,B2,2,3
3/28/2020,B1,B4,3,2
3/29/2020,A0,C1,2,3
3/29/2020,A1,B4,3,0
3/30/2020,A2,B2,3,0
3/31/2020,A3,B3,3,1
4/1/2020,B1,C0,2,3
4/2/2020,B0,C2,2,3
4/4/2020,A0,B1,3,2
4/4/2020,A1,B3,3,1
4/7/2020,A2,C2,3,2
4/8/2020,A3,B4,3,2
4/9/2020,B0,C0,3,1
4/9/2020,A1,B2,1,3
4/12/2020,B0,C1,3,2
4/13/2020,A0,B4,3,2
4/13/2020,A2,C0,1,3
4/14/2020,A3,B2,2,3
4/15/2020,B1,C1,2,3
4/19/2020,B3,C2,1,3
4/21/2020,A0,C0,1,3
4/25/2020,A1,B1,2,3
5/2/2020,A2,B0,3,2
5/2/2020,A3,C2,2,3
5/5/2020,B2,B4,2,3
5/6/2020,B3,C1,2,3
6/3/2020,A1,C4,3,1
6/7/2020,A3,C3,1,3
6/7/2020,A2,C4,3,2
6/11/2020,B5,C5,2,3
6/14/2020,A4,C5,3,1
6/21/2020,B5,C6,1,3
6/25/2020,B0,C6,2,3
6/27/2020,A2,A4,3,1
6/27/2020,A0,B5,3,2
6/27/2020,A1,C6,1,3
7/2/2020,A0,C3,3,2
7/2/2020,A4,B0,2,3
7/4/2020,A1,C5,3,2
7/5/2020,A0,C4,3,2
7/7/2020,B0,C3,1,3
7/11/2020,A2,B5,3,2
7/11/2020,A0,A4,2,3
7/12/2020,A2,C5,3,1
7/12/2020,B0,B5,3,1
7/15/2020,A1,C3,2,3
7/16/2020,A2,C6,3,2
7/23/2020,A1,B6,3,1
7/24/2020,A0,C5,3,2
7/25/2020,B0,B6,3,2
7/26/2020,A0,C6,1,3
7/26/2020,A1,A4,3,1
7/27/2020,A2,B6,1,3
7/28/2020,B0,C4,3,2
7/29/2020,A1,B5,3,2
7/29/2020,A2,C3,2,3
7/30/2020,A0,B6,3,1
7/30/2020,B0,C5,2,3
8/3/2020,A4,D0,1,3
8/4/2020,B1,D1,3,1
8/15/2020,A3,D2,3,2
8/17/2020,C6,D3,1,3
8/28/2020,B3,D4,0,3
8/28/2020,C4,D5,3,2
8/29/2020,A3,A6,0,3
